team_home,score,team_back,datetime
                Valencia Juniors,                    0 - 1,                Porto Flames,2020-04-29 01:50:00
                Roma County,                    1 - 1,                Napoli Blues,2020-04-29 01:53:00
                Giallorossi FC,                    2 - 0,                Palermo Town,2020-04-29 01:56:00
                Liverpool Stars,                    1 - 3,                Manchester Reds,2020-04-29 01:59:00
                Watford Hornets,                    1 - 2,                WBA Baggies,2020-04-29 02:02:00
                Donetsk Arrows,                    1 - 0,                Olympic Athens,2020-04-29 02:05:00
                Bergamo Rangers,                    2 - 0,                Biancorossi,2020-04-29 02:08:00
                Galataistanbul,                    1 - 1,                Zagreb,2020-04-29 02:11:00
                Aston City,                    2 - 2,                Stoke Utd,2020-04-29 02:14:00
                Verona City,                    0 - 3,                Empoli Farmers,2020-04-29 02:17:00
                Olympic Athens,                    0 - 0,                Lisbon Reds,2020-04-29 02:20:00
                Verona City,                    1 - 3,                Udine Utd,2020-04-29 02:23:00
                East End Utd,                    3 - 0,                Chelsea Pensioners,2020-04-29 02:26:00
                Sevilla Tower,                    0 - 0,                Manchester Reds,2020-04-29 02:29:00
                Manchester Blues,                    1 - 1,                Porto Flames,2020-04-29 02:32:00
                Sevilla Tower,                    0 - 1,                Islington Reds,2020-04-29 02:35:00
                Olympic Athens,                    1 - 2,                Zagreb,2020-04-29 02:38:00
                Newcastle AFC,                    1 - 1,                Swansea Jacks,2020-04-29 02:41:00
                Manchester Blues,                    1 - 1,                Manchester Reds,2020-04-29 02:44:00
                Roma County,                    0 - 0,                Fiorentina Purples,2020-04-29 02:47:00
                Turin,                    1 - 1,                Galataistanbul,2020-04-29 02:50:00
                Leicester Utd,                    1 - 3,                South Saints,2020-04-29 02:53:00
                Chelsea Pensioners,                    1 - 0,                Borussia Foals,2020-04-29 02:56:00
                Napoli Blues,                    2 - 0,                Villanova Stripes,2020-04-29 02:59:00
                Malmo Sky Blues,                    1 - 0,                Manchester Reds,2020-04-29 03:02:00
                Fiorentina Purples,                    2 - 2,                Biancorossi,2020-04-29 03:05:00
                Udine Utd,                    1 - 2,                Sassuolo Villa,2020-04-29 03:08:00
                Newcastle AFC,                    2 - 2,                Norwich Canaries,2020-04-29 03:11:00
                Dynamo Whites,                    3 - 0,                Leverkusen,2020-04-29 03:14:00
                Kazakh Stripes,                    3 - 0,                Olympic Athens,2020-04-29 03:17:00
                Saxon Wolves,                    2 - 1,                Turin,2020-04-29 03:20:00
                Udine Utd,                    0 - 2,                Verona Wanderers,2020-04-29 03:23:00
                Palace Eagles,                    1 - 0,                South Saints,2020-04-29 03:26:00
                Madrid Juniors,                    3 - 1,                Donetsk Arrows,2020-04-29 03:29:00
                Nerazzurri FC,                    2 - 2,                Milan Reds,2020-04-29 03:32:00
                Giallorossi FC,                    2 - 0,                Empoli Farmers,2020-04-29 03:35:00
                Turin,                    1 - 0,                Genova Griffins,2020-04-29 03:38:00
                Giallorossi FC,                    2 - 0,                Calcio Canaries,2020-04-29 03:41:00
                Watford Hornets,                    0 - 0,                Sunderland Cats,2020-04-29 03:44:00
                WBA Baggies,                    0 - 1,                Newcastle AFC,2020-04-29 03:47:00
                Zagreb,                    0 - 4,                Barcelona Braves,2020-04-29 03:50:00
                Biancorossi,                    0 - 1,                Torino Bulls,2020-04-29 03:53:00
                Nerazzurri FC,                    2 - 0,                Empoli Farmers,2020-04-29 03:56:00
                Giallorossi FC,                    1 - 1,                Torino Bulls,2020-04-29 03:59:00
                Roma County,                    1 - 0,                Genova Griffins,2020-04-29 04:02:00
                Torino Bulls,                    4 - 0,                Giallorossi FC,2020-04-29 04:05:00
